#{"t_start": 1686746772.4573576, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
223897.469411,7797,49.549064
259119.359665,7797,99.005102
310887.289641,7797,147.650144
308516.144271,7797,195.837109
309753.076351,7797,244.30144
292510.993382,7797,292.853935
271640.370851,7797,341.556301
259431.473763,7797,390.116194
270252.681887,7797,438.688239
287793.889993,7797,487.213033
286367.563932,7797,535.737818
158046.82643,7797,584.569803
215143.056866,7797,632.94309
238851.631721,7797,681.306767
268552.168681,7797,729.875993
232885.814329,7797,778.449759
216895.123705,7797,826.952353
214966.911607,7797,875.640484
233998.699077,7797,924.371262
322715.530465,7797,972.891126
332256.052077,7797,1021.27319
320866.539744,7797,1069.735412
295541.785025,7797,1118.121953
347630.928426,7797,1166.484905
335001.912277,7797,1214.725604
336118.771479,7797,1262.808783
358110.165317,7797,1311.124141
317448.99565,7797,1359.608742
306777.548116,7797,1408.002631
350956.978344,7797,1456.471363
326616.543968,7797,1504.902165
305508.243271,7797,1553.420738
288340.432189,7797,1601.995239
268528.081691,7797,1650.421863
260592.085108,7797,1698.860776
262904.107134,7797,1747.32313
263812.108295,7797,1795.770058
263710.125139,7797,1844.14349
261507.98541,7797,1892.514762
267188.137581,7797,1940.915868
267657.751309,7797,1989.284317
268443.910784,7797,2037.787647
275165.979683,7797,2086.236302
275562.096728,7797,2134.570766
269080.783142,7797,2182.878959
283290.298473,7797,2231.143665
279568.675838,7797,2279.453886
327490.587287,7797,2327.655723
316891.220641,7797,2375.972585
301665.709912,7797,2424.293946
287950.094773,7797,2472.608924
283826.149166,7797,2520.879924
287313.357675,7797,2569.108736
288239.448025,7797,2617.311492
285817.196889,7797,2665.567365
272978.395882,7797,2713.908973
272219.951687,7797,2762.240971
275560.781187,7797,2810.604013
274027.247045,7797,2858.838609
263903.736717,7797,2907.184391
291752.515251,7797,2955.263171
277163.745905,7797,3003.560212
281904.706404,7797,3051.874058
267054.059562,7797,3100.177259
265456.674226,7797,3148.553849
267631.162825,7797,3196.968004
266870.566303,7797,3245.389559
268658.263375,7797,3293.722862
265968.630419,7797,3342.039918
181601.222963,7797,3390.036792
195000.04338,7797,3438.257087
212440.607738,7797,3486.351212
285570.029533,7797,3534.382274
251508.876473,7797,3582.519727
247238.080165,7797,3630.77452
258597.488252,7797,3678.959431
272748.142415,7797,3727.094038
216678.243805,7797,3775.126992
110261.049309,7797,3822.231566
98989.608019,7797,3869.248002
244165.935317,7797,3917.285133
272824.855911,7797,3965.43941
293009.234233,7797,4013.74056
258920.807284,7797,4061.994109
278466.775354,7797,4110.081091
268822.612353,7797,4158.292289
155517.55,7797,4206.131231
193980.912801,7797,4253.598759
267798.325905,7797,4301.842174
101877.470126,7797,4348.987323
76995.567091,7797,4396.471481
78306.982742,7797,4444.105261
74671.865769,7797,4491.852176
190924.691227,7797,4540.030375
147594.901554,7797,4588.314607
146693.29508,7797,4636.362419
174679.523779,7797,4684.49455
225358.804687,7797,4732.397532
220664.522104,7797,4780.170944
250029.019382,7797,4828.292804
204385.062455,7797,4876.201136
217879.859866,7797,4924.16431
209008.826447,7797,4972.058326
220059.824625,7797,5019.95435
226498.516212,7797,5067.882743
246128.721223,7797,5115.875593
255475.740262,7797,5163.952554
229146.309352,7797,5211.844728
281865.278014,7797,5259.93503
290729.764332,7797,5307.92183
294528.453765,7797,5355.982509
293890.845083,7797,5403.992467
296361.425352,7797,5452.107205
297711.208777,7797,5500.25238
297356.955337,7797,5548.304833
298833.367307,7797,5596.516687
296203.116868,7797,5644.716269
289669.206156,7797,5692.888723
291748.816508,7797,5741.070298
289113.545674,7797,5789.301399
262351.336274,7797,5837.571772
259654.348954,7797,5885.755433
291018.988952,7797,5934.033913
293331.692309,7797,5982.289382
293761.672298,7797,6030.549602
295909.831921,7797,6078.846841
295983.700011,7797,6127.138191
295802.846704,7797,6175.39851
295514.407525,7797,6223.676795
296245.694265,7797,6271.980469
296803.02024,7797,6320.316708
296629.585304,7797,6368.620888
296224.280568,7797,6416.990697
296895.005725,7797,6465.304948
296642.798502,7797,6513.5791
296406.050325,7797,6561.813658
296593.327901,7797,6610.090696
296612.776618,7797,6658.420882
296628.730729,7797,6706.760615
296229.599848,7797,6755.159476
296716.326471,7797,6803.432627
296380.72267,7797,6851.792137
296497.101992,7797,6900.087312
296608.426316,7797,6948.445309
296537.97166,7797,6996.768698
296865.499641,7797,7045.072836
296589.96572,7797,7093.413089
296372.654466,7797,7141.704537
296716.23143,7797,7190.079029
296376.356289,7797,7238.31952
296598.996483,7797,7286.693869
296662.048022,7797,7335.122138
296572.521208,7797,7383.508342
296327.533169,7797,7431.922119
296292.41371,7797,7480.339515
296387.326309,7797,7528.669304
296539.633125,7797,7576.945429
296162.108828,7797,7625.370519
296675.802652,7797,7673.67839
296354.291984,7797,7722.024364
296455.976498,7797,7770.256231
296631.256022,7797,7818.602257
296197.80775,7797,7867.009458
296479.272517,7797,7915.429116
296549.313969,7797,7963.807809
296723.653505,7797,8012.17027
296295.919986,7797,8060.565031
296588.980414,7797,8108.96006
296102.310298,7797,8157.289961
296372.59173,7797,8205.703771
296331.644074,7797,8254.013613
296316.116662,7797,8302.346067
296560.760685,7797,8350.653139
296550.696108,7797,8398.979807
296384.746351,7797,8447.339021
296325.897062,7797,8495.709733
296643.539291,7797,8543.984774
296841.917962,7797,8592.344176
296977.757981,7797,8640.657792
296752.252481,7797,8688.995446
296466.837538,7797,8737.290186
296453.394926,7797,8785.65214
296852.97236,7797,8833.955836
296537.68379,7797,8882.320738
296474.142916,7797,8930.537534
296285.036808,7797,8978.923501
296083.529365,7797,9027.332273
296474.554553,7797,9075.789247
296535.516966,7797,9124.153776
296470.045558,7797,9172.537766
296521.231601,7797,9220.950818
296347.46752,7797,9269.420287
296852.156273,7797,9317.761493
296948.819802,7797,9366.247032
296709.560472,7797,9414.633205
296573.967976,7797,9462.885666
296783.136129,7797,9511.33945
296246.392981,7797,9559.749173
296902.282542,7797,9608.181616
296529.386702,7797,9656.606146
296368.735027,7797,9705.116651
296763.990486,7797,9753.545231
296345.616724,7797,9802.044669
296594.458759,7797,9850.421381
296490.393959,7797,9899.070509
296477.939927,7797,9948.219122
296031.062241,7797,9997.276782
296624.503911,7797,10045.75177
296501.993281,7797,10094.22356
296196.579161,7797,10142.606853
296559.538236,7797,10190.945029
296715.127706,7797,10239.262895
296932.459255,7797,10287.74255
296836.787259,7797,10337.050693
296144.764341,7797,10387.566477
296586.479313,7797,10435.992312
296697.580312,7797,10484.426677
296872.864652,7797,10532.880781
296711.818592,7797,10581.409957
296513.59184,7797,10629.846725
296832.914948,7797,10678.331477
296279.077375,7797,10726.787181
296975.029169,7797,10775.157719
296824.294313,7797,10823.526473
296728.747202,7797,10872.125325
296487.109271,7797,10920.632953
296924.271339,7797,10969.124794
297050.326274,7797,11017.499165
296360.247933,7797,11065.89766
296388.615414,7797,11114.313206
296436.31249,7797,11162.694639
296222.443225,7797,11211.147009
296873.403232,7797,11259.628755
297101.784036,7797,11307.964514
296712.463463,7797,11356.359401
296883.737476,7797,11404.786636
296873.985336,7797,11453.207993
296248.627054,7797,11501.673007
296376.183128,7797,11550.156911
296523.926406,7797,11598.575154
296790.107137,7797,11647.104458
296562.472919,7797,11695.593028
296347.89297,7797,11744.114343
296493.009424,7797,11792.61046
296414.489993,7797,11841.055965
296372.517747,7797,11889.563658
296789.052012,7797,11937.967461
296426.983393,7797,11986.40968
296586.171022,7797,12034.842025
296233.016664,7797,12083.283926
296833.986813,7797,12131.74228
296199.538808,7797,12180.242062
296098.134929,7797,12228.744923
296503.868468,7797,12277.035995
296535.735165,7797,12325.575418
296803.746509,7797,12374.087808
296762.121845,7797,12422.551485
296724.143706,7797,12471.055566
296336.583107,7797,12519.501559
296778.599273,7797,12567.929689
296419.043472,7797,12616.310051
296479.957174,7797,12664.822463
296915.297885,7797,12713.445928
296443.892638,7797,12761.836072
296587.818654,7797,12810.4412
296861.962877,7797,12858.982251
296652.376319,7797,12907.393687
296554.967991,7797,12955.877251
295919.083977,7797,13004.344436
296469.104841,7797,13052.758941
296421.68014,7797,13101.240624
296385.86975,7797,13149.673465
296532.482083,7797,13198.164742
296372.414797,7797,13246.711719
296755.648762,7797,13295.254858
296463.437517,7797,13343.819522
296770.358763,7797,13392.244102
296460.199767,7797,13440.700219
296826.23239,7797,13489.164508
296384.195222,7797,13537.665335
296556.358583,7797,13586.208437
296342.012351,7797,13634.655082
296737.859588,7797,13683.125409
296264.189722,7797,13731.629368
296747.639124,7797,13780.103603
296812.349547,7797,13828.559765
296283.683725,7797,13877.042504
296615.199022,7797,13925.578149
296795.148246,7797,13973.995616
296467.260038,7797,14022.594933
296229.006383,7797,14070.927206
296219.385573,7797,14119.342672
296643.183268,7797,14167.796149
296734.16168,7797,14216.267815
296775.229277,7797,14264.635796
296572.619363,7797,14313.080198
296768.07869,7797,14361.420688
296299.143063,7797,14409.763552
296439.852522,7797,14458.204145
296792.163433,7797,14506.720253
296451.533129,7797,14555.168918
296689.447754,7797,14603.576027
296127.648962,7797,14652.015731
296536.829293,7797,14700.481896
296604.150496,7797,14748.966982
296907.158761,7797,14797.335784
296598.743742,7797,14845.713189
297043.015692,7797,14894.099437
296713.656824,7797,14942.536429
296531.610217,7797,14990.984558
296822.833173,7797,15039.515914
296695.67517,7797,15087.933133
296845.138098,7797,15136.393355
296620.315775,7797,15184.807016
296822.495425,7797,15233.222604
296516.284114,7797,15281.698894
296349.515821,7797,15330.164049
296674.375736,7797,15378.747916
296380.591494,7797,15427.227282
296529.305761,7797,15475.757073
296430.075426,7797,15524.251282
296589.223039,7797,15572.700076
296537.137481,7797,15621.182971
296643.241108,7797,15669.688533
296498.012773,7797,15718.160078
296484.789525,7797,15766.689935
296629.797505,7797,15815.064409
296848.810242,7797,15863.479506
296359.676798,7797,15911.922045
296564.177017,7797,15960.430075
296481.901937,7797,16008.892943
296394.230234,7797,16057.269183
296409.327363,7797,16105.582611
296287.903291,7797,16153.967499
296645.59813,7797,16202.450924
296920.781939,7797,16250.949834
296719.533353,7797,16299.348609
296371.671524,7797,16347.742039
296323.767022,7797,16396.215309
296634.919155,7797,16444.693673
296554.902599,7797,16493.146735
296443.485816,7797,16541.673293
296931.164057,7797,16590.165361
296437.258086,7797,16638.711813
296151.968166,7797,16687.200045
296748.635185,7797,16735.648719
296623.136515,7797,16784.095483
296717.529097,7797,16832.620381
296643.280241,7797,16881.162343
296557.830328,7797,16929.65953
296655.715413,7797,16978.177854
296521.0341,7797,17026.669171
296728.507363,7797,17075.215499
296176.312829,7797,17123.626481
296248.744662,7797,17172.189669
296360.863203,7797,17220.763929
296764.713831,7797,17269.247361
296696.406909,7797,17317.720417
296443.153615,7797,17366.174532
296639.33738,7797,17414.708043
296811.376221,7797,17463.184862
296367.170089,7797,17511.650741
296586.716602,7797,17560.226398
296513.073952,7797,17608.873237
296790.100742,7797,17657.495463
296547.370228,7797,17706.041621
296450.768313,7797,17754.572252
296942.761105,7797,17803.090711
296491.496691,7797,17851.561967
296714.917529,7797,17900.107316
296595.598234,7797,17948.555565
296413.600452,7797,17996.996074
297210.043488,7797,18045.380319
296864.883139,7797,18093.862273
296691.809521,7797,18142.338477
296829.954104,7797,18190.847318
296185.719122,7797,18239.298027
296557.633503,7797,18287.68578
296474.739792,7797,18336.092306
296728.296733,7797,18384.558582
296537.593013,7797,18433.093248
296646.788397,7797,18481.551047
296542.910716,7797,18530.146563
296868.871019,7797,18578.638976
