Fichero,date,l_total_reward,mean_reward,std_reward,last portfolio
LSTM_2008-2009_lstm_v1.pickle,02-Jun_13_47_20,"[-4509.110679437988, -4507.184114492789, -4511.076100506456, -4509.110679437988, -4507.184114492789, -4511.076100506441, -4509.110679437988, -4507.184114492789, -4511.076100506456, -4509.110679437988]",-4509.122336274968,1.507389749693064,[]
LSTM_2020-2022_lstm_v1.pickle,03-Jun_01_10_27,"[37428.396806684876, 37450.084481780796, 37343.558414794505, 37430.640421342396, 37435.69883891777, 37344.58096871231, 37442.9083084657, 37446.63533515064, 37361.798497356125, 37436.99042580815]",37412.12924990132,41.42153404772804,[]
LSTM_2012-2014_lstm_v1.pickle,03-Jun_12_29_20,"[14854.343261178423, 14864.581990479797, 14855.220323712652, 14854.343261178423, 14864.581990479783, 14855.220323712652, 14854.343261178423, 14864.581990479797, 14855.220323712652, 14854.343261178423]",14857.677998729103,4.534288299919673,[]
LSTM_2018-2020_lstm_v1.pickle,03-Jun_23_57_44,"[13237.294454547839, 13279.024400684837, 13260.923442041007, 13255.789885287566, 13278.549068616354, 13253.9798132328, 13268.752217342379, 13265.651547561545, 13294.553633602642, 13257.246542150591]",13265.176500506757,15.226532338641025,[]
LSTM_2008-2009_lstm_v2.pickle,05-Jun_00_56_07,"[-952.2136342327576, -949.6351821094868, -954.85403545195, -952.2136342327576, -949.6351821094868, -954.85403545195, -952.2136342327576, -949.6351821094868, -954.85403545195, -952.2136342327576]",-952.232218961534,2.021310167428573,[]
LSTM_2020-2022_lstm_v2.pickle,05-Jun_07_54_08,"[18993.119892177972, 18999.224347465642, 18988.67486426016, 18993.119892177987, 18999.224347465642, 18988.67486426016, 18993.119892177972, 18999.224347465642, 18988.67486426016, 18993.119892177987]",18993.61772038893,4.105966553341815,[]
LSTM_2012-2014_lstm_v2.pickle,05-Jun_14_57_05,"[18785.152940301312, 18723.817379410903, 18780.466513684878, 18785.152940301312, 18723.817379410888, 18780.466513684878, 18785.152940301312, 18723.817379410888, 18780.466513684878, 18785.152940301312]",18765.346344049256,27.256243911443555,[]
LSTM_2018-2020_lstm_v2.pickle,05-Jun_22_01_01,"[12884.412511205766, 12846.286313904406, 12872.109918287955, 12884.412511205766, 12846.286313904406, 12872.109918287955, 12884.412511205766, 12846.286313904391, 12872.10991828794, 12884.412511205752]",12869.28387414001,15.89378980866051,[]
LSTM_2008-2009_lstm_v3_11-Jun_01_50_07.pickle,11-Jun_01_50_11,"[320.2021716849413, 320.9837089178327, 309.5221215342608, 314.06092467122653, 315.9177836986637, 299.8168139041227, 318.4185111506813, 323.1853955342667, 305.40373393151094, 311.761374506852]",313.92725395343587,7.034798787660449,"[539, 0, 538, 0, 536, 0, 0, 535, 539, 0]"
LSTM_2020-2022_lstm_v3_11-Jun_08_59_17.pickle,11-Jun_08_59_21,"[30344.99287769862, 30336.772556931523, 30323.91439336985, 30330.776483178066, 30338.411111123292, 30319.97864502741, 30331.986001534242, 30351.720473452064, 30326.584755712334, 30334.15018073973]",30333.92874787671,9.108931073836867,"[0, 0, 0, 0, 0, 448, 0, 446, 0, 450]"
LSTM_2012-2014_lstm_v3_11-Jun_16_05_04.pickle,11-Jun_16_05_08,"[21691.702935164634, 21724.904661315304, 21765.72099921941, 21711.65448601394, 21726.640962726276, 21718.798274274202, 21722.990909849555, 21737.423848698876, 21718.901569260503, 21727.105733657765]",21724.584438018046,17.845018384917463,"[390, 388, 391, 403, 0, 0, 0, 388, 388, 0]"
LSTM_2018-2020_lstm_v3_11-Jun_23_48_18.pickle,11-Jun_23_48_21,"[16095.167500424956, 16093.333628055101, 16089.409584808513, 16093.771984575636, 16108.031055370157, 16087.841395096184, 16097.290977849625, 16104.303229109893, 16093.338057260567, 16103.928755753732]",16096.641616830437,6.355737330583219,"[424, 0, 0, 0, 0, 429, 0, 0, 0, 425]"
LSTM_2008-2009_lstm_v1_14-Jun_00_04_16.pickle,14-Jun_00_04_48,"[-1291.9978159039165, -1288.1394928080554, -1295.9373510135192, -1291.9978159039165, -1288.1394928080554, -1295.9373510135192, -1291.9978159039165, -1288.1394928080554, -1295.9373510135192, -1291.9978159039165]",-1292.022179508039,3.0201630108900663,"[0, 30, 0, 0, 0, 0, 730, 724, 630, 730]"
LSTM_2020-2022_lstm_v1_14-Jun_00_10_28.pickle,14-Jun_00_11_20,"[17574.747375780702, 17579.498229945108, 17569.911271725956, 17574.747375780702, 17579.498229945093, 17577.71378282184, 17574.747375780702, 17579.498229945108, 17569.911271725956, 17581.491240164265]",17576.176438361545,3.8515546171497643,"[0, 0, 0, 0, 0, 668, 0, 0, 0, 669]"
LSTM_2012-2014_lstm_v1_14-Jun_00_14_23.pickle,14-Jun_00_14_36,"[19560.921162945233, 19565.562449137025, 19556.164701986316, 19560.921162945233, 19565.562449137025, 19556.164701986316, 19560.921162945233, 19565.562449137025, 19556.164701986316, 19560.921162945233]",19560.886610515096,3.639841155863749,"[730, 0, 0, 0, 730, 0, 0, 0, 0, 730]"
LSTM_2018-2020_lstm_v1_14-Jun_00_17_13.pickle,14-Jun_00_17_22,"[17398.924890287555, 17369.15196198621, 17400.303765616365, 17384.82087187661, 17389.88205327389, 17452.31810749306, 17419.303922999898, 17380.3448298766, 17339.587422739627, 17406.699492739644]",17394.133731888945,28.517032746071518,"[234, 0, 0, 243, 232, 0, 234, 233, 232, 0]"
LSTM_2008-2009_lstm_v3_14-Jun_00_37_52.pickle,14-Jun_00_38_02,"[319.048152219184, 328.8719553561823, 307.5216274794657, 327.0777112191863, 301.4506922603032, 312.980113671234, 321.01791563013103, 316.74422947948915, 296.70894534247054, 308.31216391781345]",313.97335065754595,10.03138532248409,"[538, 0, 537, 0, 538, 0, 0, 536, 538, 0]"
LSTM_2008-2009_lstm_v2_14-Jun_00_37_56.pickle,14-Jun_00_38_07,"[928.5277466709958, 930.7929968353565, 923.5298226435843, 928.4577465887996, 931.9826359312428, 922.3116777531686, 928.4778548764734, 933.5828776572889, 921.4316737668705, 928.5277466709813]",927.7622779394762,3.8825628242853694,"[0, 80, 695, 0, 696, 0, 0, 0, 698, 695]"
LSTM_2020-2022_lstm_v3_14-Jun_00_39_08.pickle,14-Jun_00_39_15,"[30342.51972272602, 30344.945893095894, 30327.812091835614, 30347.57885030136, 30345.8175830548, 30319.97864502741, 30334.673004191776, 30340.982391273996, 30343.703219931514, 30327.128252342474]",30337.513965378086,9.046700432459065,"[0, 0, 0, 0, 0, 448, 0, 447, 0, 448]"
LSTM_2020-2022_lstm_v2_14-Jun_00_39_11.pickle,14-Jun_00_39_18,"[26637.395578862823, 26644.392816383363, 26639.448565383384, 26637.304526849126, 26645.57623235596, 26635.998256753228, 26638.087013068318, 26644.746862561442, 26639.311772643632, 26640.29662068475]",26640.255824554602,3.2689022478082372,"[0, 0, 0, 509, 504, 0, 0, 0, 0, 511]"
LSTM_2012-2014_lstm_v3_14-Jun_00_40_19.pickle,14-Jun_00_40_27,"[21719.268297753675, 21775.17770767148, 21734.439746794757, 21738.12282435641, 21696.82373360297, 21727.810254520795, 21747.450946233104, 21718.533377096144, 21705.809019863256, 21731.28355463037]",21729.471946252295,20.898391225405714,"[390, 393, 389, 392, 0, 0, 0, 388, 393, 0]"
LSTM_2012-2014_lstm_v2_14-Jun_00_40_20.pickle,14-Jun_00_40_28,"[18069.32521075345, 18073.718761835597, 18064.81301764387, 18069.325210753435, 18073.718761835597, 18064.813017643857, 18069.32521075345, 18073.71876183561, 18064.81301764387, 18069.325210753435]",18069.289618145216,3.449302320344234,"[0, 730, 0, 730, 730, 0, 0, 0, 730, 0]"
LSTM_2018-2020_lstm_v2_14-Jun_00_41_27.pickle,14-Jun_00_41_34,"[13191.005148205688, 13191.557956287885, 13172.243604767325, 13179.10086339747, 13197.088061287883, 13178.455076863218, 13179.10086339747, 13191.557956287885, 13179.969848822118, 13179.10086339747]",13183.918024271441,7.692550905157757,"[543, 0, 0, 0, 0, 541, 0, 0, 0, 0]"
LSTM_2018-2020_lstm_v3_14-Jun_00_41_27.pickle,14-Jun_00_41_34,"[16089.819626068784, 16103.801883411259, 16094.349336671527, 16089.615528068796, 16103.313304479758, 16083.888046301669, 16088.896906466063, 16093.333628055101, 16091.630511931799, 16086.123852466058]",16092.477262392082,6.26764559790429,"[426, 0, 0, 0, 0, 423, 0, 0, 0, 429]"
